Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z
381,-9.16, 49.61, 29.03,357.40, 343.11, 0.00,
382,-9.16, 49.60, 29.03,357.40, 343.11, 0.00,
383,-9.16, 49.59, 29.03,357.40, 343.11, 0.00,
384,-9.16, 49.57, 29.03,357.40, 343.11, 0.00,
385,-9.16, 49.54, 29.03,357.35, 343.11, 0.00,
386,-9.16, 49.52, 29.03,357.30, 343.16, 0.00,
387,-9.16, 49.51, 29.03,357.30, 343.16, 0.00,
388,-9.16, 49.50, 29.03,357.30, 343.16, 0.00,
389,-9.16, 49.49, 29.03,357.30, 343.16, 0.00,
390,-9.16, 49.47, 29.03,357.30, 343.16, 0.00,
391,-9.16, 49.46, 29.03,357.30, 343.16, 0.00,
392,-9.16, 49.45, 29.03,357.30, 343.16, 0.00,
393,-9.16, 49.44, 29.03,357.30, 343.16, 0.00,
394,-9.16, 49.43, 29.03,357.30, 343.16, 0.00,
395,-9.16, 49.42, 29.03,357.25, 343.16, 0.00,
396,-9.16, 49.40, 29.03,357.25, 343.16, 0.00,
397,-9.16, 49.39, 29.03,357.25, 343.16, 0.00,
398,-9.16, 49.38, 29.03,357.25, 343.16, 0.00,
399,-9.16, 49.37, 29.03,357.25, 343.16, 0.00,
400,-9.16, 49.36, 29.03,357.25, 343.16, 0.00,
401,-9.16, 49.35, 29.03,357.25, 343.16, 0.00,
402,-9.16, 49.34, 29.03,357.25, 343.16, 0.00,
403,-9.16, 49.33, 29.03,357.25, 343.16, 0.00,
404,-9.16, 49.32, 29.03,357.25, 343.16, 0.00,
405,-9.16, 49.31, 29.03,357.25, 343.16, 0.00,
406,-9.16, 49.30, 29.03,357.25, 343.16, 0.00,
407,-9.16, 49.29, 29.03,357.25, 343.16, 0.00,
408,-9.16, 49.27, 29.03,357.25, 343.16, 0.00,
409,-9.16, 49.26, 29.03,357.25, 343.16, 0.00,
410,-9.16, 49.25, 29.03,357.25, 343.16, 0.00,
411,-9.16, 49.24, 29.03,357.25, 343.16, 0.00,
412,-9.16, 49.23, 29.03,357.25, 343.16, 0.00,
413,-9.16, 49.22, 29.03,357.25, 343.16, 0.00,
414,-9.16, 49.21, 29.03,357.25, 343.16, 0.00,
415,-9.16, 49.20, 29.03,357.25, 343.16, 0.00,
416,-9.16, 49.19, 29.03,357.25, 343.16, 0.00,
417,-9.16, 49.18, 29.03,357.25, 343.16, 0.00,
418,-9.16, 49.17, 29.03,357.25, 343.16, 0.00,
419,-9.16, 49.16, 29.03,357.25, 343.16, 0.00,
420,-9.16, 49.15, 29.03,357.25, 343.16, 0.00,
421,-9.16, 49.14, 29.03,357.25, 343.16, 0.00,
422,-9.16, 49.13, 29.03,357.25, 343.16, 0.00,
423,-9.16, 49.11, 29.03,357.25, 343.16, 0.00,
424,-9.16, 49.10, 29.03,357.25, 343.16, 0.00,
425,-9.16, 49.09, 29.03,357.25, 343.16, 0.00,
426,-9.16, 49.08, 29.03,357.25, 343.16, 0.00,
427,-9.16, 49.07, 29.03,357.25, 343.16, 0.00,
428,-9.16, 49.05, 29.03,357.25, 343.16, 0.00,
429,-9.16, 48.99, 29.03,357.25, 343.16, 0.00,
430,-9.16, 48.98, 29.03,357.25, 343.16, 0.00,
